,Batter,Country,No. of Innings,No. of Not Outs,Total Runs,Total Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
0,A Ahmadhel,Bulgaria,3,0,6,18,3,2,33.33333333,6,6
1,A Amado,Israel,2,0,19,28,2,9.5,67.85714286,14,14
2,A Andrews,Switzerland,1,0,4,6,1,4,66.66666667,6,6
3,A Ashokan,Czech Republic,21,6,542,469,15,36.13333333,115.565032,22.33333333,31.26666667
4,A Bagai,Canada,4,1,165,154,3,55,107.1428571,38.5,51.33333333
5,A Balbirnie,Ireland,87,3,1973,1566,84,23.48809524,125.9897829,18,18.64285714
6,A Bhadauria,Luxembourg,2,0,40,31,2,20,129.0322581,15.5,15.5
7,A Bhagwat,Hong Kong,3,0,2,9,3,0.666666667,22.22222222,3,3
8,A Bhargava,Singapore,2,1,7,6,1,7,116.6666667,3,6
9,A Bhattarai,Nepal,1,0,2,3,1,2,66.66666667,3,3
10,A Bishnoi,Malta,8,4,11,21,4,2.75,52.38095238,2.625,5.25
11,A Bohara,Nepal,7,3,21,24,4,5.25,87.5,3.428571429,6
12,A Bulow,Denmark,1,0,11,13,1,11,84.61538462,13,13
13,A Bushell,Guernsey,1,0,5,8,1,5,62.5,8,8
14,A Conteh,Gambia,6,0,35,55,6,5.833333333,63.63636364,9.166666667,9.166666667
15,A Dananjaya,Sri Lanka,13,5,53,67,8,6.625,79.10447761,5.153846154,8.375
16,A Daxini,Croatia,3,0,11,22,3,3.666666667,50,7.333333333,7.333333333
17,A Dhingra,Luxembourg,4,3,7,6,1,7,116.6666667,1.5,6
18,A Dizija,Serbia,13,0,414,323,13,31.84615385,128.1733746,24.84615385,24.84615385
19,A Djorovic,Serbia,3,2,21,35,1,21,60,11.66666667,35
20,A Dutt,Netherlands,1,0,0,3,1,0,0,3,3
21,A Faletar,Croatia,2,1,0,2,1,0,0,1,2
22,A Ferguson,Argentina,10,1,264,271,9,29.33333333,97.41697417,27.1,30.11111111
23,A Flintoff,England,7,1,76,59,6,12.66666667,128.8135593,8.428571429,9.833333333
24,A Gasteratos,Greece,1,0,4,10,1,4,40,10,10
25,A Gavde,Cayman Islands,1,0,1,6,1,1,16.66666667,6,6
26,A Gbla,Sierra Leone,10,1,83,93,9,9.222222222,89.24731183,9.3,10.33333333
27,A Gorawara,Hong Kong,2,0,21,18,2,10.5,116.6666667,9,9
28,A Halbhavi,Luxembourg,11,0,168,154,11,15.27272727,109.0909091,14,14
29,A Husain,Argentina,2,1,11,13,1,11,84.61538462,6.5,13
30,A Johnmary,France,1,-1,8,14,2,4,57.14285714,14,7
31,A Johnson,Canada,7,1,402,241,6,67,166.8049793,34.42857143,40.16666667
32,A Kansonkho,Malawi,3,1,22,19,2,11,115.7894737,6.333333333,9.5
33,A Kapoor,Canada,1,1,9,4,0,9,225,4,inf
34,A Karn,Nepal,1,0,4,7,1,4,57.14285714,7,7
35,A Kaul,Singapore,3,0,13,21,3,4.333333333,61.9047619,7,7
36,A Khan,Denmark/England,7,0,49,53,7,7,92.45283019,7.571428571,7.571428571
37,A Kheterpal,Hungary,15,6,269,215,9,29.88888889,125.1162791,14.33333333,23.88888889
38,A Kirschbaum,Argentina,10,0,62,91,10,6.2,68.13186813,9.1,9.1
39,A Krishna,Singapore,6,4,29,29,2,14.5,100,4.833333333,14.5
