,Batter,Batter Team(s),No. of Innings,Not Outs,Total Runs,Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
0,A Ashish Reddy,Sunrisers Hyderabad/Deccan Chargers,22,8,266,181,14,19,146.961326,8.227272727,12.92857143
1,A Badoni,Lucknow Super Giants,22,4,340,268,18,18.88888889,126.8656716,12.18181818,14.88888889
2,A Chandila,Rajasthan Royals,2,2,4,7,0,4,57.14285714,3.5,inf
3,A Chopra,Kolkata Knight Riders,6,0,53,71,6,8.833333333,74.64788732,11.83333333,11.83333333
4,A Choudhary,Royal Challengers Bangalore,3,2,25,20,1,25,125,6.666666667,20
5,A Dananjaya,Mumbai Indians,1,1,4,5,0,4,80,5,inf
6,A Flintoff,Chennai Super Kings,3,1,62,53,2,31,116.9811321,17.66666667,26.5
7,A Kumble,Royal Challengers Bangalore,15,12,35,47,3,11.66666667,74.46808511,3.133333333,15.66666667
8,A Manohar,Gujarat Titans,13,1,222,158,12,18.5,140.5063291,12.15384615,13.16666667
9,A Mishra,Delhi Daredevils/Sunrisers Hyderabad/Deccan Chargers/Delhi Capitals/Lucknow Super Giants,55,24,381,417,31,12.29032258,91.36690647,7.581818182,13.4516129
10,A Mithun,Royal Challengers Bangalore,6,1,34,26,5,6.8,130.7692308,4.333333333,5.2
11,A Mukund,Chennai Super Kings/Royal Challengers Bangalore,2,0,19,22,2,9.5,86.36363636,11,11
12,A Nehra,Chennai Super Kings/Mumbai Indians/Delhi Daredevils/Pune Warriors/Sunrisers Hyderabad,17,10,41,60,7,5.857142857,68.33333333,3.529411765,8.571428571
13,A Nortje,Delhi Capitals,10,6,42,40,4,10.5,105,4,10
14,A Singh,Rajasthan Royals,5,1,2,9,4,0.5,22.22222222,1.8,2.25
15,A Symonds,Deccan Chargers/Mumbai Indians,36,9,974,745,27,36.07407407,130.738255,20.69444444,27.59259259
16,A Tomar,Kolkata Knight Riders,1,0,4,8,1,4,50,8,8
17,A Uniyal,Rajasthan Royals,2,1,4,7,1,4,57.14285714,3.5,7
18,A Zampa,Rising Pune Supergiants/Rajasthan Royals/Rising Pune Supergiant,5,0,15,24,5,3,62.5,4.8,4.8
19,AA Bilakhia,Deccan Chargers,7,2,69,84,5,13.8,82.14285714,12,16.8
20,AA Chavan,Rajasthan Royals,3,1,12,11,2,6,109.0909091,3.666666667,5.5
21,AA Jhunjhunwala,Rajasthan Royals/Deccan Chargers/Pune Warriors,15,2,217,209,13,16.69230769,103.8277512,13.93333333,16.07692308
22,AA Noffke,Royal Challengers Bangalore,1,0,9,10,1,9,90,10,10
23,AB Agarkar,Kolkata Knight Riders/Delhi Daredevils,17,7,178,150,10,17.8,118.6666667,8.823529412,15
24,AB Barath,Kings XI Punjab,3,1,42,42,2,21,100,14,21
25,AB Dinda,Pune Warriors/Royal Challengers Bangalore/Kolkata Knight Riders/Rising Pune Supergiant/Delhi Daredevils,16,6,26,48,10,2.6,54.16666667,3,4.8
26,AB McDonald,Delhi Daredevils/Royal Challengers Bangalore,8,4,123,98,4,30.75,125.5102041,12.25,24.5
27,AB de Villiers,Delhi Daredevils/Royal Challengers Bangalore,166,39,5001,3288,127,39.37795276,152.0985401,19.80722892,25.88976378
28,AC Blizzard,Mumbai Indians,7,0,120,90,7,17.14285714,133.3333333,12.85714286,12.85714286
29,AC Gilchrist,Deccan Chargers/Kings XI Punjab,80,4,2069,1483,76,27.22368421,139.5144976,18.5375,19.51315789
30,AC Thomas,Pune Warriors,4,2,20,19,2,10,105.2631579,4.75,9.5
31,AC Voges,Rajasthan Royals,7,3,181,143,4,45.25,126.5734266,20.42857143,35.75
32,AD Hales,Sunrisers Hyderabad,6,0,148,117,6,24.66666667,126.4957265,19.5,19.5
33,AD Mascarenhas,Kings XI Punjab/Rajasthan Royals,10,2,52,50,8,6.5,104,5,6.25
34,AD Mathews,Pune Warriors/Kolkata Knight Riders/Delhi Daredevils,40,10,723,570,30,24.1,126.8421053,14.25,19
35,AD Nath,Gujarat Lions/Royal Challengers Bangalore/Kings XI Punjab,10,0,90,98,10,9,91.83673469,9.8,9.8
36,AD Russell,Kolkata Knight Riders/Delhi Daredevils,93,17,2191,1250,76,28.82894737,175.28,13.44086022,16.44736842
37,AF Milne,Mumbai Indians/Royal Challengers Bangalore,6,2,23,29,4,5.75,79.31034483,4.833333333,7.25
38,AG Murtaza,Pune Warriors/Mumbai Indians,3,2,10,14,1,10,71.42857143,4.666666667,14
39,AG Paunikar,Rajasthan Royals,5,0,49,55,5,9.8,89.09090909,11,11
40,AJ Finch,Kings XI Punjab/Gujarat Lions/Sunrisers Hyderabad/Pune Warriors/Delhi Daredevils/Royal Challengers Bangalore/Mumbai Indians/Kolkata Knight Riders/Rajasthan Royals,88,6,2039,1585,82,24.86585366,128.6435331,18.01136364,19.32926829
41,AJ Hosein,Sunrisers Hyderabad,1,1,16,10,0,16,160,10,inf
42,AJ Turner,Rajasthan Royals,4,1,3,10,3,1,30,2.5,3.333333333
43,AJ Tye,Kings XI Punjab/Gujarat Lions/Rajasthan Royals,12,4,66,64,8,8.25,103.125,5.333333333,8
44,AK Markram,Sunrisers Hyderabad/Punjab Kings,31,7,775,589,24,32.29166667,131.5789474,19,24.54166667
45,AL Menaria,Rajasthan Royals,23,2,401,354,21,19.0952381,113.2768362,15.39130435,16.85714286
46,AM Nayar,Mumbai Indians/Rajasthan Royals/Kings XI Punjab/Pune Warriors,50,12,672,573,38,17.68421053,117.2774869,11.46,15.07894737
47,AM Rahane,Chennai Super Kings/Rajasthan Royals/Rising Pune Supergiants/Kolkata Knight Riders/Rising Pune Supergiant/Delhi Capitals/Mumbai Indians,157,17,4254,3448,140,30.38571429,123.3758701,21.96178344,24.62857143
48,AN Ahmed,Royal Challengers Bangalore/Mumbai Indians,6,5,36,26,1,36,138.4615385,4.333333333,26
49,AN Ghosh,Kolkata Knight Riders,2,0,7,8,2,3.5,87.5,4,4
50,AP Dole,Rajasthan Royals,2,0,34,22,2,17,154.5454545,11,11
51,AP Majumdar,Pune Warriors,4,0,87,76,4,21.75,114.4736842,19,19
52,AP Tare,Sunrisers Hyderabad/Mumbai Indians/Delhi Daredevils,27,3,339,272,24,14.125,124.6323529,10.07407407,11.33333333
53,AR Bawne,Delhi Daredevils,1,1,12,12,0,12,100,12,inf
54,AR Patel,Delhi Capitals/Kings XI Punjab,98,30,1400,1064,68,20.58823529,131.5789474,10.85714286,15.64705882
55,AS Joseph,Gujarat Titans/Mumbai Indians,5,4,27,32,1,27,84.375,6.4,32
56,AS Rajpoot,Kings XI Punjab/Rajasthan Royals/Kolkata Knight Riders/Chennai Super Kings,7,2,26,41,5,5.2,63.41463415,5.857142857,8.2
57,AS Raut,Rajasthan Royals,15,6,173,154,9,19.22222222,112.3376623,10.26666667,17.11111111
58,AS Roy,Kolkata Knight Riders,5,2,23,21,3,7.666666667,109.5238095,4.2,7
59,AS Yadav,Deccan Chargers,6,1,49,39,5,9.8,125.6410256,6.5,7.8
60,AT Carey,Delhi Capitals,3,1,32,29,2,16,110.3448276,9.666666667,14.5
61,AT Rayudu,Mumbai Indians/Chennai Super Kings,185,30,4348,3391,155,28.0516129,128.2217635,18.32972973,21.87741935
62,AU Rashid,Sunrisers Hyderabad,2,0,22,15,2,11,146.6666667,7.5,7.5
63,AUK Pathan,Royal Challengers Bangalore,7,2,39,23,5,7.8,169.5652174,3.285714286,4.6
64,Abdul Basith,Rajasthan Royals,1,1,1,1,0,1,100,1,inf
65,Abdul Samad,Sunrisers Hyderabad,26,7,372,269,19,19.57894737,138.2899628,10.34615385,14.15789474
66,Abdur Razzak,Royal Challengers Bangalore,1,1,0,2,0,0,0,2,inf
67,Abhishek Sharma,Sunrisers Hyderabad/Delhi Daredevils,43,6,886,639,37,23.94594595,138.6541471,14.86046512,17.27027027
68,Abishek Porel,Delhi Capitals,4,0,33,31,4,8.25,106.4516129,7.75,7.75
69,Akash Deep,Royal Challengers Bangalore,2,0,17,10,2,8.5,170,5,5
70,Aman Hakim Khan,Delhi Capitals/Kolkata Knight Riders,10,1,115,104,9,12.77777778,110.5769231,10.4,11.55555556
71,Anirudh Singh,Deccan Chargers,4,0,63,66,4,15.75,95.45454545,16.5,16.5
