,Bowler,Country,No. of Matches Bowled In,Total Wickets,Total Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
0,A Ahmadhel,Bulgaria,2,1,10,21,21,12.6,10,5,0.5
1,A Amado,Israel,2,1,12,20,20,10,12,6,0.5
2,A Andrews,Switzerland,3,4,60,61,15.25,6.1,15,20,1.333333333
3,A Ashok,New Zealand,1,1,24,28,28,7,24,24,1
4,A Ashokan,Czech Republic,17,13,318,411,31.61538462,7.754716981,24.46153846,18.70588235,0.764705882
5,A Bhargava,Singapore,1,1,12,14,14,7,12,12,1
6,A Bhattarai,Nepal,1,1,18,12,12,4,18,18,1
7,A Bishnoi,Malta,12,12,203,310,25.83333333,9.162561576,16.91666667,16.91666667,1
8,A Bohara,Nepal,34,37,686,765,20.67567568,6.690962099,18.54054054,20.17647059,1.088235294
9,A Conteh,Gambia,5,8,108,114,14.25,6.333333333,13.5,21.6,1.6
10,A Dananjaya,Sri Lanka,28,23,605,840,36.52173913,8.330578512,26.30434783,21.60714286,0.821428571
11,A Daxini,Croatia,2,0,9,24,0,16,0,4.5,0
12,A Denuwan,Italy,3,1,38,50,50,7.894736842,38,12.66666667,0.333333333
13,A Dhingra,Luxembourg,13,9,219,301,33.44444444,8.246575342,24.33333333,16.84615385,0.692307692
14,A Dizija,Serbia,2,0,24,79,0,19.75,0,12,0
15,A Djorovic,Serbia,6,1,70,149,149,12.77142857,70,11.66666667,0.166666667
16,A Dutt,Netherlands,4,4,54,75,18.75,8.333333333,13.5,13.5,1
17,A Flintoff,England,7,4,150,161,40.25,6.44,37.5,21.42857143,0.571428571
18,A Gbla,Sierra Leone,8,15,120,123,8.2,6.15,8,15,1.875
19,A Husain,Argentina,7,7,108,115,16.42857143,6.388888889,15.42857143,15.42857143,1
20,A Karn,Nepal,1,1,24,31,31,7.75,24,24,1
21,A Khan,Denmark/England,9,7,137,150,21.42857143,6.569343066,19.57142857,15.22222222,0.777777778
22,A Kheterpal,Hungary,15,8,308,366,45.75,7.12987013,38.5,20.53333333,0.533333333
23,A Kirschbaum,Argentina,10,6,205,250,41.66666667,7.317073171,34.16666667,20.5,0.6
24,A Krishna,Singapore,12,16,233,333,20.8125,8.575107296,14.5625,19.41666667,1.333333333
25,A Limdawala,Malawi,1,0,12,18,0,9,0,12,0
26,A Magdalenic,Croatia,2,0,14,43,0,18.42857143,0,7,0
27,A Maheshwari,Croatia,2,1,30,50,50,10,30,15,0.5
28,A Manousis,Greece,3,2,42,51,25.5,7.285714286,21,14,0.666666667
29,A Mansale,Vanuatu,7,6,90,113,18.83333333,7.533333333,15,12.85714286,0.857142857
30,A Martel,Guernsey,5,9,108,112,12.44444444,6.222222222,12,21.6,1.8
31,A Martin,West Indies,1,1,18,20,20,6.666666667,18,18,1
32,A Mehmood,Hong Kong,1,0,6,12,0,12,0,6,0
33,A Mene-Ejegi,Serbia,11,10,226,261,26.1,6.92920354,22.6,20.54545455,0.909090909
34,A Mishra,India,5,4,114,137,34.25,7.210526316,28.5,22.8,0.8
35,A Mongar,Bhutan,2,2,18,11,5.5,3.666666667,9,9,1
36,A Morris,Cayman Islands,6,6,132,114,19,5.181818182,22,22,1
37,A Nanda,Luxembourg,15,10,276,379,37.9,8.239130435,27.6,18.4,0.666666667
38,A Nao,Papua New Guinea,6,3,120,154,51.33333333,7.7,40,20,0.5
39,A Nathwani,Austria,15,14,294,360,25.71428571,7.346938776,21,19.6,0.933333333
40,A Natubhai Ahir,Panama,4,2,69,59,29.5,5.130434783,34.5,17.25,0.5
41,A Ndlovu,Zimbabwe,6,2,108,145,72.5,8.055555556,54,18,0.333333333
42,A Nehra,India,27,34,588,758,22.29411765,7.734693878,17.29411765,21.77777778,1.259259259
43,A Neill,Scotland,4,7,96,120,17.14285714,7.5,13.71428571,24,1.75
44,A Nel,South Africa,2,2,48,42,21,5.25,24,24,1
45,A Nortje,South Africa,29,36,611,732,20.33333333,7.188216039,16.97222222,21.06896552,1.24137931
46,A Orfila,Gibraltar,5,4,90,135,33.75,9,22.5,18,0.8
47,A Prashar,Hungary,3,4,60,51,12.75,5.1,15,20,1.333333333
48,A Pusthay,Finland,3,4,36,39,9.75,6.5,9,12,1.333333333
49,A Rangaswamy,Botswana,8,11,142,144,13.09090909,6.084507042,12.90909091,17.75,1.375
50,A Reyes,Gibraltar,8,7,94,127,18.14285714,8.106382979,13.42857143,11.75,0.875
51,A Shahzad,England,3,3,66,97,32.33333333,8.818181818,22,22,1
52,A Shukla,Hong Kong,6,6,120,179,29.83333333,8.95,20,20,1
53,A Symonds,Australia,12,8,185,277,34.625,8.983783784,23.125,15.41666667,0.666666667
54,A Trivedi,Luxembourg,1,0,6,15,0,15,0,6,0
55,A Turay,Sierra Leone,1,2,24,24,12,6,12,24,2
56,A Turkmen,Turkey,7,8,150,150,18.75,6,18.75,21.42857143,1.142857143
57,A Vala,Papua New Guinea,24,24,353,391,16.29166667,6.645892351,14.70833333,14.70833333,1
58,A Venkatesh,Sweden,11,17,194,213,12.52941176,6.587628866,11.41176471,17.63636364,1.545454545
59,A Wright,Cayman Islands,4,4,96,76,19,4.75,24,24,1
60,A Yon,St Helena,3,9,48,51,5.666666667,6.375,5.333333333,16,3
61,A Zampa,Australia,68,80,1487,1708,21.35,6.891728312,18.5875,21.86764706,1.176470588
62,AA Banner,Belize,1,0,12,17,0,8.5,0,12,0
63,AA Gajic,Serbia,8,13,163,175,13.46153846,6.441717791,12.53846154,20.375,1.625
64,AA Hussein,Tanzania,2,2,36,55,27.5,9.166666667,18,18,1
65,AA Noffke,Australia,2,4,45,41,10.25,5.466666667,11.25,22.5,2
66,AAP Rivero,Argentina,4,1,65,71,71,6.553846154,65,16.25,0.25
67,AAhan Achar,Singapore,5,5,78,76,15.2,5.846153846,15.6,15.6,1
68,AB Agarkar,India,2,2,39,50,25,7.692307692,19.5,19.5,1
69,AB Dinda,India,9,17,180,245,14.41176471,8.166666667,10.58823529,20,1.888888889
70,AB Kamara,Sierra Leone,4,2,42,43,21.5,6.142857143,21,10.5,0.5
71,AB Mengoumou,Cameroon,2,1,30,70,70,14,30,15,0.5
72,AC Agar,Australia,46,42,976,1050,25,6.454918033,23.23809524,21.2173913,0.913043478
73,AC Botha,Ireland,5,8,96,84,10.5,5.25,12,19.2,1.6
74,AC Douglas,Bermuda,3,8,50,52,6.5,6.24,6.25,16.66666667,2.666666667
75,AC Evans,Scotland,31,38,678,912,24,8.07079646,17.84210526,21.87096774,1.225806452
76,AC Voges,Australia,1,2,12,5,2.5,2.5,6,12,2
77,ACF Stokes,Guernsey,10,13,222,216,16.61538462,5.837837838,17.07692308,22.2,1.3
78,AD Mascarenhas,England,14,12,252,309,25.75,7.357142857,21,18,0.857142857
79,AD Mathews,Sri Lanka,56,37,943,1104,29.83783784,7.024390244,25.48648649,16.83928571,0.660714286
